,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
NORTH-1623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.50,121.00,121.00,121.00,121.00,121.00,121.00
NORTH-1624,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00,177.00
NORTH-1625,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00
NORTH-1626,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,60.00,60.00,60.00,60.00,105.10,120.00,120.00,120.00,60.00,63.82,120.00,60.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,60.00,60.00,60.00,115.83,120.00,60.00,72.59,60.00,120.00,120.00,120.00,60.00,48.00
NORTH-1627,218.00,218.00,218.00,218.00,218.00,218.00,218.00,218.00,218.00,218.00,218.00,272.50,272.50,272.50,422.24,272.50,289.41,280.77,277.93,272.50,272.50,272.50,272.50,218.00,218.00,218.00,218.00,218.00,218.00,218.00,218.00,218.00,218.00,218.00,218.00,270.80,272.50,272.50,272.50,307.52,272.50,523.50,272.50,272.50,272.50,283.61,263.43,218.00
NORTH-1628,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,60.00,60.00,120.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,60.00,60.00,60.00,98.50,60.00,60.00,120.00,60.00,60.00,60.00,60.00,60.00,48.00
NORTH-1629,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,270.50,270.50,341.14,309.00,270.50,270.50,270.50,270.50,270.50,270.50,270.50,270.50,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,270.50,270.50,270.50,270.50,335.32,270.50,393.17,270.50,270.50,270.50,270.50,216.40
NORTH-1631,48.40,48.40,48.40,48.40,48.40,48.40,48.40,48.40,48.40,48.40,48.40,60.50,60.50,121.00,121.00,121.00,60.50,60.50,60.50,118.36,121.00,60.50,60.50,48.40,48.40,48.40,48.40,48.40,48.40,48.40,48.40,48.40,48.40,48.40,48.40,48.40,60.50,60.50,121.00,60.50,121.00,121.00,60.50,60.50,60.50,60.50,60.50,48.40
NORTH-1633,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,47.00,47.00,94.00,94.00,94.00,47.00,94.00,94.00,94.00,47.00,94.00,47.00,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,47.00,47.00,47.00,94.00,47.00,94.00,94.00,94.00,94.00,94.00,47.00,47.00,37.60
NORTH-1634,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,47.00,47.00,94.00,94.00,94.00,47.00,94.00,47.00,47.00,94.00,54.50,47.00,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,47.00,47.00,94.00,94.00,94.00,94.00,94.00,55.66,51.50,94.00,47.00,37.60
