,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
NORTH-12-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH-12-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH-13-1,0,27.50,27.50,27.50,27.50,0,27.50,27.50,27.50,27.50,0,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,0,16.50,27.50,27.50,27.50,27.50,27.50,0,0,27.50,16.50,0,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50
NORTH-13-2,0,27.50,27.50,27.50,27.50,27.50,0,0,27.50,0,27.50,0,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,0,16.50,16.50,16.50,27.50,27.50,27.50,27.50,16.50,0,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50
NORTH-13-3,27.50,0,0,0,0,27.50,27.50,27.50,0,0,0,0,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,0,0,16.50,27.50,0,0,0,0,0,27.50,27.50,0,0,0,9.73,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,0,0
NORTH-13-4,27.50,0,0,0,0,0,0,0,0,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,0,0,0,0,0,0,0,0,0,0,0,0,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,0,0
NORTH-14-1,12.00,0,20.00,20.00,20.00,0,12.00,20.00,20.00,12.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,0,0,0,20.00,20.00,20.00,20.00,20.00,20.00,20.00,0,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,0,20.00
NORTH-14-2,0,20.00,12.00,12.00,12.00,0,0,12.00,12.00,0,0,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,12.00,12.00,0,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,0,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,12.00
NORTH-14-3,0,12.00,0,0,0,20.00,20.00,0,0,0,12.00,0,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,0,0,0,12.00,20.00,0,0,0,0,0,0,0,12.00,0,0,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,0,0
NORTH-14-4,20.00,0,0,0,0,12.00,0,0,0,20.00,0,0,11.03,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,0,0,20.00,20.00,0,0,0,0,0,0,0,0,20.00,0,0,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,0
NORTH-15-1,13.45,13.45,13.45,13.45,13.45,0,13.45,13.45,13.45,13.45,0,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,8.07,8.07,13.45,13.45,13.45,13.45,0,0,13.45,12.63,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,0,13.45
NORTH-15-2,13.45,13.45,13.45,13.45,13.45,13.45,0,13.45,13.45,0,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,8.07,0,13.45,8.07,8.07,13.45,13.45,13.45,13.45,8.07,0,0,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45
NORTH-15-3,0,0,0,0,0,0,13.45,0,0,0,0,0,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,0,0,0,0,0,0,0,0,0,13.45,13.45,0,0,0,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,0,0
