Gen_Index,timepoint,Committed,Started,Shut,TimeOn,TimeOff,Total Held as Primary Synch Reserves (MW),Total Held as Primary NonSynch Reserves (MW),Total Held as Primary Reserves (MW),Total Held as Secondary Reserves (MW)
3,8,1.0,-0.0,-0.0,208.0,0.0,22.00,0,22.00,26.40
3,9,1.0,-0.0,-0.0,209.0,0.0,22.00,0,22.00,26.40
3,10,1.0,-0.0,-0.0,210.0,0.0,22.00,0,22.00,26.40
3,11,1.0,-0.0,-0.0,211.0,0.0,22.00,0,22.00,26.40
3,12,1.0,-0.0,-0.0,212.0,0.0,22.00,0,22.00,22.00
3,13,1.0,-0.0,-0.0,213.0,0.0,0,0,0,0
3,14,1.0,-0.0,-0.0,214.0,0.0,0,0,0,0
3,15,1.0,-0.0,-0.0,215.0,0.0,0,0,0,0
3,16,1.0,-0.0,-0.0,216.0,0.0,0,0,0,0
3,17,1.0,-0.0,-0.0,217.0,0.0,0,0,0,0
3,18,1.0,-0.0,-0.0,218.0,0.0,0,0,0,0
3,19,1.0,-0.0,-0.0,219.0,0.0,0,0,0,0
3,20,1.0,-0.0,-0.0,220.0,0.0,0,0,0,0
3,21,1.0,-0.0,-0.0,221.0,0.0,0,0,0,0
3,22,1.0,-0.0,-0.0,222.0,0.0,0,0,0,0
3,23,1.0,-0.0,-0.0,223.0,0.0,22.00,0,22.00,22.00
3,24,1.0,-0.0,-0.0,224.0,0.0,22.00,0,22.00,26.40
3,25,1.0,-0.0,0.0,225.0,0.0,22.00,0,22.00,26.40
3,26,1.0,-0.0,-0.0,226.0,0.0,22.00,0,22.00,26.40
3,27,1.0,-0.0,-0.0,227.0,0.0,22.00,0,22.00,26.40
3,28,1.0,-0.0,-0.0,228.0,0.0,22.00,0,22.00,26.40
3,29,1.0,-0.0,-0.0,229.0,0.0,22.00,0,22.00,26.40
3,30,1.0,-0.0,-0.0,230.0,0.0,22.00,0,22.00,26.40
3,31,1.0,-0.0,-0.0,231.0,0.0,22.00,0,22.00,26.40
3,32,1.0,-0.0,-0.0,232.0,0.0,22.00,0,22.00,26.40
3,33,1.0,-0.0,-0.0,233.0,0.0,22.00,0,22.00,26.40
3,34,1.0,-0.0,-0.0,234.0,0.0,22.00,0,22.00,26.40
3,35,1.0,-0.0,-0.0,235.0,0.0,22.00,0,22.00,26.40
3,36,1.0,-0.0,-0.0,236.0,0.0,22.00,0,22.00,22.00
3,37,1.0,-0.0,-0.0,237.0,0.0,22.00,0,22.00,22.00
3,38,1.0,-0.0,-0.0,238.0,0.0,0,0,0,0
3,39,1.0,-0.0,-0.0,239.0,0.0,0,0,0,0
3,40,1.0,-0.0,-0.0,240.0,0.0,0,0,0,0
3,41,1.0,-0.0,-0.0,241.0,0.0,0,0,0,0
3,42,1.0,-0.0,-0.0,242.0,0.0,0,0,0,0
3,43,1.0,-0.0,-0.0,243.0,0.0,0,0,0,0
3,44,1.0,-0.0,-0.0,244.0,0.0,0,0,0,0
3,45,1.0,-0.0,-0.0,245.0,0.0,0,0,0,0
3,46,1.0,-0.0,-0.0,246.0,0.0,0,0,0,0
3,47,1.0,-0.0,-0.0,247.0,0.0,22.00,0,22.00,22.00
3,48,1.0,-0.0,-0.0,248.0,0.0,22.00,0,22.00,26.40
4,1,1.0,0.0,0.0,201.0,0.0,109.50,0,109.50,0
4,2,1.0,-0.0,-0.0,202.0,0.0,109.50,0,109.50,0
