,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
NORTH-12-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH-12-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH-12-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH-13-1,27.50,27.50,27.50,27.50,16.50,27.50,0,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50
NORTH-13-2,16.50,16.50,16.50,0,0,16.50,27.50,16.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,25.43,16.50,16.50,16.50,16.50,27.50,0,16.50,16.50,16.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50
NORTH-13-3,0,0,0,0,27.50,0,16.50,0,0,0,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,0,0,0,0,0,27.50,16.50,0,0,0,0,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50
NORTH-13-4,0,0,0,16.50,0,0,0,0,0,0,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,25.43,0,0,0,0,0,16.50,0,0,0,0,0,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50
NORTH-14-1,20.00,12.00,20.00,0,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,12.00,20.00,20.00,20.00,20.00,20.00,20.00,0,0,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
NORTH-14-2,12.00,0,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,12.00,12.00,12.00,12.00,12.00,12.00,20.00,20.00,0,12.00,12.00,12.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
NORTH-14-3,0,20.00,0,20.00,0,0,0,0,0,0,0,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,0,0,0,0,0,0,0,0,0,12.00,0,0,0,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,0
NORTH-14-4,0,0,0,0,0,0,0,0,0,0,0,12.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,12.00,0,0,0,0,0,0,0,12.00,12.00,0,0,0,0,12.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,0
NORTH-15-1,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45
NORTH-15-2,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,8.07,13.45,13.45,13.45,13.45,9.98,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45
NORTH-15-3,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,0,0,13.45,13.45,0,13.45,13.45,13.45,13.45,3.23,0,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45
NORTH-15-4,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,0,0,8.07,13.45,0,13.45,13.45,13.45,13.45,0,0,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45
NORTH-16-1,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,0,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25
NORTH-16-2,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,6.75,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,0,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25
NORTH-16-3,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,0,0,11.25,11.25,0,11.25,0,11.25,11.25,0,0,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25
NORTH-16-4,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,0,0,6.75,11.25,0,11.25,11.25,11.25,11.25,0,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25
NORTH-17-1,65.00,39.00,39.00,39.00,65.00,0,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,39.00,65.00,65.00,65.00,65.00,65.00,39.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,39.00,0,0,65.00,65.00,65.00,65.00,65.00,65.00,41.82,39.00,0,0,65.00,65.00,65.00,65.00,0
NORTH-17-2,39.00,0,0,0,39.00,65.00,39.00,39.00,39.00,39.00,39.00,39.00,0,0,65.00,65.00,65.00,0,63.53,55.96,62.42,0,0,39.00,39.00,39.00,39.00,39.00,39.00,39.00,0,0,39.00,39.00,39.00,39.00,65.00,65.00,65.00,0,0,0,65.00,0,62.60,65.00,39.00,0
NORTH-17-3,0,0,0,0,0,39.00,0,0,0,0,0,0,65.00,0,0,0,0,65.00,0,0,0,65.00,0,0,0,0,0,0,0,0,65.00,39.00,0,0,0,0,0,0,0,65.00,0,65.00,0,65.00,0,0,0,0
NORTH-17-4,0,65.00,65.00,65.00,0,0,0,0,0,0,0,0,0,65.00,0,0,0,0,0,0,0,0,65.00,0,0,0,0,0,0,0,0,65.00,65.00,0,0,0,0,0,0,0,65.00,65.00,39.00,0,0,0,0,0
NORTH-1574-1,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00
NORTH-1574-2,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00
NORTH-1574-3,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,31.33,40.00,40.00,40.00,0,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00
